Order ID,Product,Quantity Ordered,Price Each,Purchase Address
150502,iPhone,1,700,"866 Spruce St, Portland, ME 04101"
150503,AA Batteries (4-pack),1,3.84,"18 13th St, San Francisco, CA 94016"
150504,27in 4K Gaming Monitor,1,389.99,"52 6th St, New York City, NY 10001"
150505,Lightning Charging Cable,1,14.95,"129 Cherry St, Atlanta, GA 30301"
150506,AA Batteries (4-pack),2,3.84,"548 Lincoln St, Seattle, WA 98101"
150507,Lightning Charging Cable,1,14.95,"387 12th St, Austin, TX 73301"
150508,AA Batteries (4-pack),1,3.84,"622 Center St, San Francisco, CA 94016"
150509,Apple Airpods Headphones,1,150,"921 6th St, Seattle, WA 98101"
150510,USB-C Charging Cable,1,11.95,"451 2nd St, Los Angeles, CA 90001"
150511,USB-C Charging Cable,1,11.95,"689 River St, San Francisco, CA 94016"
150512,Bose SoundSport Headphones,1,99.99,"198 Center St, Los Angeles, CA 90001"
150513,Bose SoundSport Headphones,1,99.99,"777 Spruce St, Los Angeles, CA 90001"
150514,27in FHD Monitor,1,149.99,"723 Wilson St, Los Angeles, CA 90001"
150515,Apple Airpods Headphones,1,150,"101 13th St, New York City, NY 10001"
150516,Lightning Charging Cable,1,14.95,"303 Sunset St, Atlanta, GA 30301"
150517,Wired Headphones,1,11.99,"471 13th St, San Francisco, CA 94016"
150518,Macbook Pro Laptop,1,1700,"847 10th St, San Francisco, CA 94016"
150518,iPhone,1,700,"847 10th St, San Francisco, CA 94016"
150519,Wired Headphones,1,11.99,"111 Hill St, Dallas, TX 75001"
150520,AA Batteries (4-pack),2,3.84,"512 Church St, Dallas, TX 75001"
150521,Flatscreen TV,1,300,"588 1st St, Los Angeles, CA 90001"
150522,20in Monitor,1,109.99,"633 Cherry St, Boston, MA 02215"
150523,LG Dryer,1,600,"452 8th St, San Francisco, CA 94016"
150524,Wired Headphones,1,11.99,"311 8th St, Austin, TX 73301"
150525,20in Monitor,1,109.99,"874 Jefferson St, San Francisco, CA 94016"
150526,AAA Batteries (4-pack),1,2.99,"85 Park St, Boston, MA 02215"
150527,USB-C Charging Cable,1,11.95,"165 Jefferson St, Los Angeles, CA 90001"
150528,AAA Batteries (4-pack),2,2.99,"426 Lake St, Los Angeles, CA 90001"
150529,AA Batteries (4-pack),4,3.84,"116 Elm St, Seattle, WA 98101"
150530,ThinkPad Laptop,1,999.99,"752 Park St, Los Angeles, CA 90001"
150531,USB-C Charging Cable,1,11.95,"457 Maple St, Los Angeles, CA 90001"
150532,USB-C Charging Cable,1,11.95,"645 Walnut St, San Francisco, CA 94016"
150533,AAA Batteries (4-pack),1,2.99,"270 Dogwood St, San Francisco, CA 94016"
150534,AAA Batteries (4-pack),2,2.99,"246 9th St, Los Angeles, CA 90001"
150535,AAA Batteries (4-pack),1,2.99,"961 2nd St, San Francisco, CA 94016"
150536,Wired Headphones,1,11.99,"134 8th St, Los Angeles, CA 90001"
150537,Wired Headphones,1,11.99,"437 12th St, San Francisco, CA 94016"
150538,Apple Airpods Headphones,1,150,"553 12th St, Atlanta, GA 30301"
150539,AA Batteries (4-pack),2,3.84,"103 14th St, San Francisco, CA 94016"
150540,Apple Airpods Headphones,1,150,"218 Ridge St, Atlanta, GA 30301"
150541,AAA Batteries (4-pack),1,2.99,"683 Adams St, Portland, OR 97035"
150542,AA Batteries (4-pack),1,3.84,"517 10th St, Austin, TX 73301"
150543,Wired Headphones,1,11.99,"268 Sunset St, Boston, MA 02215"
150544,Lightning Charging Cable,1,14.95,"723 Elm St, Los Angeles, CA 90001"
150545,Macbook Pro Laptop,1,1700,"905 Meadow St, Atlanta, GA 30301"
150546,AAA Batteries (4-pack),1,2.99,"43 1st St, Atlanta, GA 30301"
150547,AAA Batteries (4-pack),1,2.99,"511 Washington St, San Francisco, CA 94016"
150548,Macbook Pro Laptop,1,1700,"750 Forest St, Boston, MA 02215"
150549,iPhone,1,700,"522 West St, Boston, MA 02215"
150550,ThinkPad Laptop,1,999.99,"261 Washington St, Los Angeles, CA 90001"
150551,27in 4K Gaming Monitor,1,389.99,"726 West St, Seattle, WA 98101"
150552,Wired Headphones,1,11.99,"954 13th St, Boston, MA 02215"
150553,34in Ultrawide Monitor,1,379.99,"700 1st St, Dallas, TX 75001"
150554,AA Batteries (4-pack),1,3.84,"33 Johnson St, New York City, NY 10001"
150555,27in FHD Monitor,1,149.99,"714 Adams St, Portland, OR 97035"
